noise,BA,WA,stim,order,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.corr,key_resp.rt,date,expName,session,participant,
None,None,None,bawam_n75db.wav,1,1,0,0,0,0,None,0,,2012_Nov_09_1646,None,001,1,
None,None,None,bam_n75db.wav,2,1,0,1,1,1,None,0,,2012_Nov_09_1646,None,001,1,
None,None,None,ba_n75db.wav,3,1,0,2,2,2,None,0,,2012_Nov_09_1646,None,001,1,
None,None,None,waf_n75db.wav,4,2,0,3,3,3,None,0,,2012_Nov_09_1646,None,001,1,
None,None,None,ba_n75db.wav,5,1,0,4,4,4,1,1,0.110401260285,2012_Nov_09_1646,None,001,1,
None,None,None,bam_n75db.wav,6,1,0,5,5,5,1,1,0.118048406267,2012_Nov_09_1646,None,001,1,
None,None,None,wam_n75db.wav,7,2,0,6,6,6,1,0,0.530665234992,2012_Nov_09_1646,None,001,1,
None,None,None,bawaf_n75db.wav,8,1,0,7,7,7,1,1,0.336761143108,2012_Nov_09_1646,None,001,1,
None,None,None,bawam_n75db.wav,9,1,0,8,8,8,1,1,0.237838940407,2012_Nov_09_1646,None,001,1,
None,None,None,bawaf_n75db.wav,10,1,0,9,9,9,1,1,0.190412138962,2012_Nov_09_1646,None,001,1,
None,None,None,bawa_n75db.wav,11,1,0,10,10,10,1,1,0.202930956958,2012_Nov_09_1646,None,001,1,
None,None,None,baf_n75db.wav,12,1,0,11,11,11,1,1,0.185078636291,2012_Nov_09_1646,None,001,1,
None,None,None,ba_n75db.wav,13,1,0,12,12,12,1,1,0.232474649025,2012_Nov_09_1646,None,001,1,
None,None,None,wa_n75db.wav,14,2,0,13,13,13,1,0,0.175122978449,2012_Nov_09_1646,None,001,1,
None,None,None,bawa_n75db.wav,15,1,0,14,14,14,1,1,0.200907882102,2012_Nov_09_1646,None,001,1,
None,None,None,baf_n75db.wav,16,1,0,15,15,15,1,1,0.124659640426,2012_Nov_09_1646,None,001,1,
None,None,None,wam_n75db.wav,17,2,0,16,16,16,1,0,0.15810772585,2012_Nov_09_1646,None,001,1,
None,None,None,waf_n75db.wav,18,2,0,17,17,17,1,0,0.16442261867,2012_Nov_09_1646,None,001,1,
None,None,None,bawa_n75db.wav,19,1,0,18,18,18,1,1,0.010284070755,2012_Nov_09_1646,None,001,1,
None,None,None,bawam_n75db.wav,20,1,0,19,19,19,1,1,0.053916163624,2012_Nov_09_1646,None,001,1,
None,None,None,wam_n75db.wav,21,2,0,20,20,20,1,0,0.154565741273,2012_Nov_09_1646,None,001,1,
None,None,None,bawaf_n75db.wav,22,1,0,21,21,21,1,1,0.27633637436,2012_Nov_09_1646,None,001,1,
None,None,None,baf_n75db.wav,23,1,0,22,22,22,1,1,0.281701948605,2012_Nov_09_1646,None,001,1,
None,None,None,bawaf_n75db.wav,24,1,0,23,23,23,1,1,0.10866682959,2012_Nov_09_1646,None,001,1,
None,None,None,wa_n75db.wav,25,2,0,24,24,24,1,0,0.108643096626,2012_Nov_09_1646,None,001,1,
None,None,None,bawa_n75db.wav,26,1,0,25,25,25,1,1,0.0622663184977,2012_Nov_09_1646,None,001,1,
None,None,None,waf_n75db.wav,27,2,0,26,26,26,1,0,0.175222400326,2012_Nov_09_1646,None,001,1,
None,None,None,baf_n75db.wav,28,1,0,27,27,27,1,1,0.136088666355,2012_Nov_09_1646,None,001,1,
None,None,None,bawaf_n75db.wav,29,1,0,28,28,28,1,1,0.1052101554,2012_Nov_09_1646,None,001,1,
None,None,None,wa_n75db.wav,30,2,0,29,29,29,1,0,0.0131679466432,2012_Nov_09_1646,None,001,1,
None,None,None,bam_n75db.wav,31,1,0,30,30,30,1,1,0.0612150123187,2012_Nov_09_1646,None,001,1,
None,None,None,bawa_n75db.wav,32,1,0,31,31,31,1,1,0.00803970204225,2012_Nov_09_1646,None,001,1,
None,None,None,waf_n75db.wav,33,2,0,32,32,32,1,0,0.00251376993008,2012_Nov_09_1646,None,001,1,
None,None,None,ba_n75db.wav,34,1,0,33,33,33,1,1,0.051846264271,2012_Nov_09_1646,None,001,1,
None,None,None,wa_n75db.wav,35,2,0,34,34,34,1,0,0.12422025987,2012_Nov_09_1646,None,001,1,
None,None,None,wa_n75db.wav,36,2,0,35,35,35,1,0,0.0909716596334,2012_Nov_09_1646,None,001,1,
None,None,None,bawam_n75db.wav,37,1,0,36,36,36,1,1,0.281182389114,2012_Nov_09_1646,None,001,1,
None,None,None,wam_n75db.wav,38,2,0,37,37,37,1,0,0.12825742954,2012_Nov_09_1646,None,001,1,
None,None,None,waf_n75db.wav,39,2,0,38,38,38,1,0,0.174808677028,2012_Nov_09_1646,None,001,1,
None,None,None,ba_n75db.wav,40,1,0,39,39,39,1,1,0.160179549497,2012_Nov_09_1646,None,001,1,
None,None,None,baf_n75db.wav,41,1,0,40,40,40,1,1,0.0575569286465,2012_Nov_09_1646,None,001,1,
None,None,None,bam_n75db.wav,42,1,0,41,41,41,1,1,0.108742518504,2012_Nov_09_1646,None,001,1,
None,None,None,bawam_n75db.wav,43,1,0,42,42,42,1,1,0.0619757500419,2012_Nov_09_1646,None,001,1,
None,None,None,bam_n75db.wav,44,1,0,43,43,43,1,1,0.0743348516016,2012_Nov_09_1646,None,001,1,
None,None,None,wam_n75db.wav,45,2,0,44,44,44,1,0,0.0676312513109,2012_Nov_09_1646,None,001,1,
